Station Name,Line,Ok,,,,
Lancaster Gate,Central,TRUE,,,,
Latimer Road,"Hammersmith & City
Circle",TRUE,,,,
Leicester Square,"Piccadilly
Northern",TRUE,,,,
Leyton,Central,TRUE,,,,
Leytonstone,Central,TRUE,,,,
Liverpool Street,"Metropolitan
Central
Circle
Hammersmith & City",TRUE,,,,
London Bridge,"Northern
Jubilee",TRUE,,,,
Loughton,Central,TRUE,,,,
Maida Vale,Bakerloo,FALSE,,,,
Manor House,Piccadilly,TRUE,,,,
Mansion House,"District
Circle",TRUE,,,,
Marble Arch,Central,TRUE,,,,
Marylebone,Bakerloo,FALSE,,,,
Mile End,"District
Hammersmith & City
Central",TRUE,,,,
Mill Hill East,Northern,TRUE,,,,
Monument,"District
Circle",TRUE,,,,
Moorgate,"Metropolitan
Northern
Circle
Hammersmith & City",TRUE,,,,
Moor Park,Metropolitan,TRUE,,,,
Morden,Northern,TRUE,,,,
Mornington Crescent,Northern,TRUE,,,,
Neasden,Jubilee,FALSE,,,,
Newbury Park,Central,TRUE,,,,
Nine Elms,Northern,TRUE,,,,
North Acton,Central,TRUE,,,,
North Ealing,Piccadilly,TRUE,,,,
North Greenwich,Jubilee,FALSE,,,,
North Harrow,Metropolitan,TRUE,,,,
North Wembley,Bakerloo,FALSE,,,,
Northfields,Piccadilly,TRUE,,,,
Northolt,Central,TRUE,,,,
Northwick Park,Metropolitan,TRUE,,,,
Northwood,Metropolitan,TRUE,,,,
Northwood Hills,Metropolitan,TRUE,,,,
Notting Hill Gate,"District
Central
Circle",TRUE,,,,
Oakwood,Piccadilly,TRUE,,,,
Old Street,Northern,TRUE,,,,
Osterley,Piccadilly,TRUE,,,,
Oval,Northern,TRUE,,,,
Oxford Circus,"Central
Bakerloo
Victoria",TRUE,,,,
Paddington,"District
Circle
Bakerloo",TRUE,,,,
Paddington,"Hammersmith & City
Circle",TRUE,,,,
Park Royal,Piccadilly,TRUE,,,,
Parsons Green,District,FALSE,,,,
Perivale,Central,TRUE,,,,
Piccadilly Circus,"Bakerloo
Piccadilly",TRUE,,,,
Pimlico,Victoria,FALSE,,,,
Pinner,Metropolitan,TRUE,,,,
Plaistow,"District
Hammersmith & City",TRUE,,,,
Preston Road,Metropolitan,TRUE,,,,
Putney Bridge,District,FALSE,,,,
Queen's Park,Bakerloo,FALSE,,,,
Queensbury,Jubilee,FALSE,,,,
Queensway,Central,TRUE,,,,
Ravenscourt Park,District,FALSE,,,,
Rayners Lane,"Metropolitan
Piccadilly[k]",TRUE,,,,
Redbridge,Central,TRUE,,,,
Regent's Park,Bakerloo,FALSE,,,,
Richmond,District,FALSE,,,,
Rickmansworth,Metropolitan,TRUE,,,,
Roding Valley,Central,TRUE,,,,
Royal Oak,"Hammersmith & City
Circle",TRUE,,,,
Ruislip,"Metropolitan
Piccadilly[k]",TRUE,,,,
Ruislip Gardens,Central,TRUE,,,,
Ruislip Manor,"Metropolitan
Piccadilly[k]",TRUE,,,,
Russell Square,Piccadilly,TRUE,,,,
St James's Park,"District
Circle",TRUE,,,,
St John's Wood,Jubilee[g],FALSE,,,,
St Paul's,Central,TRUE,,,,
Seven Sisters,Victoria,FALSE,,,,
Shepherd's Bush,Central,TRUE,,,,
Shepherd's Bush Market,"Hammersmith & City
Circle",TRUE,,,,
Sloane Square,"District
Circle",TRUE,,,,
Snaresbrook,Central,TRUE,,,,
South Ealing,Piccadilly,TRUE,,,,
South Harrow,Piccadilly,TRUE,,,,
South Kensington,"District
Piccadilly
Circle",TRUE,,,,
South Kenton,Bakerloo,FALSE,,,,
South Ruislip,Central,TRUE,,,,
South Wimbledon,Northern,TRUE,,,,
South Woodford,Central,TRUE,,,,
Southfields,District,FALSE,,,,
Southgate,Piccadilly,TRUE,,,,
Southwark,Jubilee,FALSE,,,,
Stamford Brook,District,FALSE,,,,
Stanmore,Jubilee,FALSE,,,,
Stepney Green,"District
Hammersmith & City",TRUE,,,,
Stockwell,"Northern
Victoria",TRUE,,,,
Stonebridge Park,Bakerloo,FALSE,,,,
Stratford,"Central
Jubilee",TRUE,,,,
Sudbury Hill,Piccadilly,TRUE,,,,
Sudbury Town,Piccadilly,TRUE,,,,
Swiss Cottage,Jubilee[g],FALSE,,,,
Temple,"District
Circle",TRUE,,,,
Theydon Bois,Central,TRUE,,,,
Tooting Bec,Northern,TRUE,,,,
Tooting Broadway,Northern,TRUE,,,,
Tottenham Court Road,"Central
Northern",TRUE,,,,
Tottenham Hale,Victoria,FALSE,,,,
Totteridge & Whetstone,Northern,TRUE,,,,
Tower Hill,"District
Circle",TRUE,,,,
Tufnell Park,Northern,TRUE,,,,
Turnham Green,"District
Piccadilly",TRUE,,,,
Turnpike Lane,Piccadilly,TRUE,,,,
Upminster,District,FALSE,,,,
Upminster Bridge,District,FALSE,,,,
Upney,District,FALSE,,,,
Upton Park,"District
Hammersmith & City",TRUE,,,,
Uxbridge,"Metropolitan
Piccadilly[k]",TRUE,,,,
Vauxhall,Victoria,FALSE,,,,
Victoria,"District
Circle
Victoria",TRUE,,,,
Walthamstow Central,Victoria,FALSE,,,,
Wanstead,Central,TRUE,,,,
Warren Street,"Northern
Victoria",TRUE,,,,
Warwick Avenue,Bakerloo,FALSE,,,,
Waterloo,"Waterloo & City
Bakerloo
Northern
Jubilee",TRUE,,,,
Watford,Metropolitan,TRUE,,,,
Wembley Central,Bakerloo,FALSE,,,,
Wembley Park,"Metropolitan
Jubilee[f]",TRUE,,,,
West Acton,Central,TRUE,,,,
West Brompton,District,FALSE,,,,
West Finchley,Northern,TRUE,,,,
West Ham,"District
Hammersmith & City
Jubilee",TRUE,,,,
West Hampstead,Jubilee,FALSE,,,,
West Harrow,Metropolitan,TRUE,,,,
West Kensington,District,FALSE,,,,
West Ruislip,Central,TRUE,,,,
Westbourne Park,"Hammersmith & City
Circle",TRUE,,,,
Westminster,"District
Circle
Jubilee",TRUE,,,,
White City,Central,TRUE,,,,
Whitechapel,"District
Hammersmith & City",TRUE,,,,
Willesden Green,Jubilee,FALSE,,,,
Willesden Junction,Bakerloo,FALSE,,,,
Wimbledon,District,FALSE,,,,
Wimbledon Park,District,FALSE,,,,
Wood Green,Piccadilly,TRUE,,,,
Wood Lane,"Hammersmith & City
Circle",TRUE,,,,
Woodford,Central,TRUE,,,,
Woodside Park,Northern,TRUE,,,,
